subscriptionName,subscriptionId,roleName,resourceType,resourceName,assignetToType,assignedTo,roleCondition
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.Compute/virtualMachineScaleSets,vmscaleset-contoso-test-002,group,Contoso-Test-AutoScale-Team,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.Compute/virtualMachines,vm-contoso-test-001,group,Contoso-Test-Engineers,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Owner,Microsoft.Compute/virtualMachines,vm-contoso-test-002,group,Contoso-Test-VM-Team,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.Compute/virtualMachines/extensions,vmextension-contoso-test-001,group,Contoso-Test-Operations,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.ContainerRegistry/registries,acr-contoso-test-001,group,Contoso-Test-Containers,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Owner,Microsoft.ContainerRegistry/registries,acr-contoso-test-002,user,testadmin2@contoso.com,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Owner,Microsoft.ContainerService/managedClusters,aks-contoso-test-002,group,Contoso-Test-Kubernetes-Team,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.Logic/workflows,logicapp-contoso-test-001,group,Contoso-Test-Integration-Team,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.Network/loadBalancers,lb-contoso-test-001,user,testnetwork@contoso.com,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.Network/networkWatchers,nw-contoso-test-001,user,testnetwork2@contoso.com,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Contributor,Microsoft.Network/publicIPAddresses,ip-contoso-test-001,user,testadmin@contoso.com,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Owner,Microsoft.ServiceFabricMesh/clusters,sfmesh-contoso-test-001,group,Contoso-Test-App-Team,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Owner,Microsoft.Storage/storageAccounts,storage-contoso-test-002,user,testlead@contoso.com,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Reader,Microsoft.Storage/storageAccounts,storagecontosotest001,user,testuser@contoso.com,None
Contoso-Test,t1e2s3t4-5t6e-7s8t-9s0u-1b2s3c4r5i6p,Reader,Microsoft.Web/serverFarms,appservice-contoso-test-001,group,Contoso-Test-DevOps,None
